title,description,brand,tags,combined_features,combined_tags
man wearing the joker makeup,Best sales of Men category!,Polo Ralph Lauren,"['beautiful', 'good-looking', 'charming']","man wearing the joker makeup Best sales of Men category! Polo Ralph Lauren ['beautiful', 'good-looking', 'charming']",beautiful good-looking charming
man wearing yellow clothing,Best sales of Men category!,Adidas,"['sparky', 'good-looking', 'stunning']","man wearing yellow clothing Best sales of Men category! Adidas ['sparky', 'good-looking', 'stunning']",sparky good-looking stunning
man with braided hair in yellow outfit,Best sales of Men category!,Puma,"['good-looking', 'sparky', 'gorgeous']","man with braided hair in yellow outfit Best sales of Men category! Puma ['good-looking', 'sparky', 'gorgeous']",good-looking sparky gorgeous
photo of man holding camera,Best sales of Men category!,Nike,"['charming', 'personable', 'attractive']","photo of man holding camera Best sales of Men category! Nike ['charming', 'personable', 'attractive']",charming personable attractive
photo of man wearing black shirt,Best sales of Men category!,Nike,"['elegant', 'gorgeous', 'pretty']","photo of man wearing black shirt Best sales of Men category! Nike ['elegant', 'gorgeous', 'pretty']",elegant gorgeous pretty
photo of man wearing denim jacket,Best sales of Men category!,Aeropostale,"['sexy', 'good-looking', 'foxy']","photo of man wearing denim jacket Best sales of Men category! Aeropostale ['sexy', 'good-looking', 'foxy']",sexy good-looking foxy
photo of man wearing orange beanie,Best sales of Men category!,Versace,"['hot', 'beautiful', 'pretty']","photo of man wearing orange beanie Best sales of Men category! Versace ['hot', 'beautiful', 'pretty']",hot beautiful pretty
photo of man wearing red tuxido,Best sales of Men category!,Lacoste,"['personable', 'attractive', 'charming']","photo of man wearing red tuxido Best sales of Men category! Lacoste ['personable', 'attractive', 'charming']",personable attractive charming
photography of guy wearing yellow hoodie,Best sales of Men category!,Gucci,"['foxy', 'hot', 'beautiful']","photography of guy wearing yellow hoodie Best sales of Men category! Gucci ['foxy', 'hot', 'beautiful']",foxy hot beautiful
photography of man wearing eyeglasses,Best sales of Men category!,Abercrombie & Fitch,"['dashing', 'foxy', 'pretty']","photography of man wearing eyeglasses Best sales of Men category! Abercrombie & Fitch ['dashing', 'foxy', 'pretty']",dashing foxy pretty
side view photography of man while closing his eyes,Best sales of Men category!,Aeropostale,"['hot', 'attractive', 'stunning']","side view photography of man while closing his eyes Best sales of Men category! Aeropostale ['hot', 'attractive', 'stunning']",hot attractive stunning
smiling man looking at his phone leaning on concrete pillar,Best sales of Men category!,Louis Vuitton,"['glamorus', 'hot', 'pretty']","smiling man looking at his phone leaning on concrete pillar Best sales of Men category! Louis Vuitton ['glamorus', 'hot', 'pretty']",glamorus hot pretty
time lapse photography of man doing skateboard trick,Best sales of Men category!,Louis Vuitton,"['sexy', 'gorgeous', 'sparky']","time lapse photography of man doing skateboard trick Best sales of Men category! Louis Vuitton ['sexy', 'gorgeous', 'sparky']",sexy gorgeous sparky
grayscale photo of woman in formal suit sitting on folding,Best sales of Women category!,Gucci,"['dashing', 'personable', 'good-looking']","grayscale photo of woman in formal suit sitting on folding Best sales of Women category! Gucci ['dashing', 'personable', 'good-looking']",dashing personable good-looking
man and woman standing outside near bare tree,Best sales of Women category!,Polo Ralph Lauren,"['sexy', 'pretty', 'sparky']","man and woman standing outside near bare tree Best sales of Women category! Polo Ralph Lauren ['sexy', 'pretty', 'sparky']",sexy pretty sparky
newly married couple hugging each other,Best sales of Women category!,Abercrombie & Fitch,"['good-looking', 'gorgeous', 'pretty']","newly married couple hugging each other Best sales of Women category! Abercrombie & Fitch ['good-looking', 'gorgeous', 'pretty']",good-looking gorgeous pretty
photo of woman wearing white dress,Best sales of Women category!,Vans,"['elegant', 'attractive', 'personable']","photo of woman wearing white dress Best sales of Women category! Vans ['elegant', 'attractive', 'personable']",elegant attractive personable
serious female tailor cutting pieces of black fabric while,Best sales of Women category!,Calvin Klein,"['attractive', 'good-looking', 'glamorus']","serious female tailor cutting pieces of black fabric while Best sales of Women category! Calvin Klein ['attractive', 'good-looking', 'glamorus']",attractive good-looking glamorus
smiling woman with natural grape as earring,Best sales of Women category!,Nike,"['dashing', 'glamorus', 'beautiful']","smiling woman with natural grape as earring Best sales of Women category! Nike ['dashing', 'glamorus', 'beautiful']",dashing glamorus beautiful
stylish young woman in garden with blooming trees,Best sales of Women category!,Versace,"['elegant', 'sexy', 'charming']","stylish young woman in garden with blooming trees Best sales of Women category! Versace ['elegant', 'sexy', 'charming']",elegant sexy charming
two women standing beside each other wearing white top and,Best sales of Women category!,Adidas,"['lovable', 'charming', 'stunning']","two women standing beside each other wearing white top and Best sales of Women category! Adidas ['lovable', 'charming', 'stunning']",lovable charming stunning
woman about to kiss the man at the forest,Best sales of Women category!,Versace,"['foxy', 'hot', 'gorgeous']","woman about to kiss the man at the forest Best sales of Women category! Versace ['foxy', 'hot', 'gorgeous']",foxy hot gorgeous
woman holding coca cola glass bottle,Best sales of Women category!,Gucci,"['elegant', 'beautiful', 'dashing']","woman holding coca cola glass bottle Best sales of Women category! Gucci ['elegant', 'beautiful', 'dashing']",elegant beautiful dashing
woman hugging man in black sweatshirt,Best sales of Women category!,Puma,"['stunning', 'pretty', 'gorgeous']","woman hugging man in black sweatshirt Best sales of Women category! Puma ['stunning', 'pretty', 'gorgeous']",stunning pretty gorgeous
woman in black dress,Best sales of Women category!,Polo Ralph Lauren,"['stunning', 'elegant', 'hot']","woman in black dress Best sales of Women category! Polo Ralph Lauren ['stunning', 'elegant', 'hot']",stunning elegant hot
woman in black long sleeved shirt wearing black hat,Best sales of Women category!,Versace,"['foxy', 'stunning', 'good-looking']","woman in black long sleeved shirt wearing black hat Best sales of Women category! Versace ['foxy', 'stunning', 'good-looking']",foxy stunning good-looking
woman in black spaghetti strap top holding fire extinguisher,Best sales of Women category!,Gucci,"['stunning', 'beautiful', 'engaging']","woman in black spaghetti strap top holding fire extinguisher Best sales of Women category! Gucci ['stunning', 'beautiful', 'engaging']",stunning beautiful engaging
woman in blue sweater with black hijab outfit,Best sales of Women category!,Calvin Klein,"['good-looking', 'sexy', 'glamorus']","woman in blue sweater with black hijab outfit Best sales of Women category! Calvin Klein ['good-looking', 'sexy', 'glamorus']",good-looking sexy glamorus
woman in brown coat standing on bridge,Best sales of Women category!,Abercrombie & Fitch,"['charming', 'elegant', 'beautiful']","woman in brown coat standing on bridge Best sales of Women category! Abercrombie & Fitch ['charming', 'elegant', 'beautiful']",charming elegant beautiful
woman in maroon buttoned coat wearing black hat,Best sales of Women category!,Versace,"['personable', 'lovable', 'gorgeous']","woman in maroon buttoned coat wearing black hat Best sales of Women category! Versace ['personable', 'lovable', 'gorgeous']",personable lovable gorgeous
woman in white and black striped shirt,Best sales of Women category!,Calvin Klein,"['lovable', 'engaging', 'gorgeous']","woman in white and black striped shirt Best sales of Women category! Calvin Klein ['lovable', 'engaging', 'gorgeous']",lovable engaging gorgeous
woman in yellow crew neck t shirt,Best sales of Women category!,Versace,"['beautiful', 'engaging', 'gorgeous']","woman in yellow crew neck t shirt Best sales of Women category! Versace ['beautiful', 'engaging', 'gorgeous']",beautiful engaging gorgeous
woman leaning against wall,Best sales of Women category!,Abercrombie & Fitch,"['attractive', 'lovable', 'sparky']","woman leaning against wall Best sales of Women category! Abercrombie & Fitch ['attractive', 'lovable', 'sparky']",attractive lovable sparky
woman posing beside rock,Best sales of Women category!,Adidas,"['foxy', 'engaging', 'charming']","woman posing beside rock Best sales of Women category! Adidas ['foxy', 'engaging', 'charming']",foxy engaging charming
woman posing outdoors,Best sales of Women category!,Aeropostale,"['stunning', 'elegant', 'personable']","woman posing outdoors Best sales of Women category! Aeropostale ['stunning', 'elegant', 'personable']",stunning elegant personable
woman sitting on bungee chair,Best sales of Women category!,Lacoste,"['sexy', 'gorgeous', 'stunning']","woman sitting on bungee chair Best sales of Women category! Lacoste ['sexy', 'gorgeous', 'stunning']",sexy gorgeous stunning
woman sitting on sofa bed wearing sunglasses,Best sales of Women category!,Abercrombie & Fitch,"['foxy', 'good-looking', 'dashing']","woman sitting on sofa bed wearing sunglasses Best sales of Women category! Abercrombie & Fitch ['foxy', 'good-looking', 'dashing']",foxy good-looking dashing
woman touching face with own hand,Best sales of Women category!,Adidas,"['sexy', 'dashing', 'beautiful']","woman touching face with own hand Best sales of Women category! Adidas ['sexy', 'dashing', 'beautiful']",sexy dashing beautiful
woman wearing blue long sleeved shirt and red skirt standing,Best sales of Women category!,Nike,"['sexy', 'pretty', 'good-looking']","woman wearing blue long sleeved shirt and red skirt standing Best sales of Women category! Nike ['sexy', 'pretty', 'good-looking']",sexy pretty good-looking
woman wearing gray waist vest and gray flare pants,Best sales of Women category!,Adidas,"['glamorus', 'dashing', 'sexy']","woman wearing gray waist vest and gray flare pants Best sales of Women category! Adidas ['glamorus', 'dashing', 'sexy']",glamorus dashing sexy
woman wearing maroon and white floral dress,Best sales of Women category!,Lacoste,"['attractive', 'dashing', 'foxy']","woman wearing maroon and white floral dress Best sales of Women category! Lacoste ['attractive', 'dashing', 'foxy']",attractive dashing foxy
woman wearing red lace bra,Best sales of Women category!,Levis,"['good-looking', 'beautiful', 'gorgeous']","woman wearing red lace bra Best sales of Women category! Levis ['good-looking', 'beautiful', 'gorgeous']",good-looking beautiful gorgeous
woman wearing sleeveless top and pants,Best sales of Women category!,Abercrombie & Fitch,"['beautiful', 'hot', 'good-looking']","woman wearing sleeveless top and pants Best sales of Women category! Abercrombie & Fitch ['beautiful', 'hot', 'good-looking']",beautiful hot good-looking
woman wearing strapless dress sitting on staircase,Best sales of Women category!,Gucci,"['foxy', 'personable', 'attractive']","woman wearing strapless dress sitting on staircase Best sales of Women category! Gucci ['foxy', 'personable', 'attractive']",foxy personable attractive
woman wearing teal pink and purple button up shirt,Best sales of Women category!,Abercrombie & Fitch,"['sparky', 'beautiful', 'lovable']","woman wearing teal pink and purple button up shirt Best sales of Women category! Abercrombie & Fitch ['sparky', 'beautiful', 'lovable']",sparky beautiful lovable
women s black long sleeved shirt with white polka dots,Best sales of Women category!,Versace,"['hot', 'engaging', 'dashing']","women s black long sleeved shirt with white polka dots Best sales of Women category! Versace ['hot', 'engaging', 'dashing']",hot engaging dashing
women s white and black striped dress shirt,Best sales of Women category!,Abercrombie & Fitch,"['charming', 'stunning', 'gorgeous']","women s white and black striped dress shirt Best sales of Women category! Abercrombie & Fitch ['charming', 'stunning', 'gorgeous']",charming stunning gorgeous
women s white and brown floral dress,Best sales of Women category!,Puma,"['beautiful', 'personable', 'sparky']","women s white and brown floral dress Best sales of Women category! Puma ['beautiful', 'personable', 'sparky']",beautiful personable sparky
